"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2025","98.000","97.995","98.005","97.995","15.82K","0.00%"
"06/18/2025","98.000","97.995","98.005","97.990","19.14K","0.01%"
"06/17/2025","97.995","98.005","98.005","97.990","23.73K","0.00%"
"06/16/2025","97.999","97.985","97.990","97.980","42.26K","0.01%"
"06/13/2025","97.985","98.015","98.015","97.985","277.55K","-0.03%"
"06/12/2025","98.010","98.025","98.025","98.005","211.27K","-0.01%"
"06/11/2025","98.020","98.010","98.025","98.010","144.52K","0.01%"
"06/10/2025","98.010","98.005","98.015","98.005","87.75K","0.01%"
"06/09/2025","98.005","98.005","98.010","98.000","117.60K","0.01%"
"06/06/2025","98.000","98.005","98.010","97.995","201.55K","0.00%"
"06/05/2025","98.000","98.020","98.025","97.995","418.56K","-0.02%"
"06/04/2025","98.020","98.015","98.025","98.010","150.92K","0.01%"
"06/03/2025","98.015","98.000","98.020","98.000","249.62K","0.02%"
"06/02/2025","98.000","98.000","98.010","97.995","161.63K","0.00%"
"05/30/2025","98.000","98.005","98.005","97.995","117.16K","0.00%"
"05/29/2025","98.000","98.005","98.005","97.985","193.48K","0.01%"
"05/28/2025","97.995","98.000","98.005","97.990","166.81K","-0.01%"
"05/27/2025","98.000","97.995","98.005","97.985","87.34K","0.01%"
"05/26/2025","97.995","97.990","97.995","97.980","86.32K","-0.01%"
"05/23/2025","98.005","97.985","98.075","97.975","411.62K","0.02%"
"05/22/2025","97.985","97.980","97.990","97.970","158.14K","0.01%"
"05/21/2025","97.980","97.975","97.985","97.970","117.65K","0.01%"
"05/20/2025","97.975","97.970","97.980","97.965","108.38K","0.05%"
"05/19/2025","97.925","97.915","97.915","97.910","1.80K","0.01%"
"05/16/2025","97.915","97.890","97.920","97.890","28.64K","0.03%"
"05/15/2025","97.890","97.875","97.895","97.875","15.54K","0.02%"
"05/14/2025","97.875","97.870","97.880","97.870","8.00K","0.00%"
"05/13/2025","97.875","97.870","97.880","97.860","5.86K","0.00%"
"05/12/2025","97.875","97.895","97.900","97.875","12.03K","-0.03%"
"05/09/2025","97.900","97.900","97.905","97.895","8.07K","0.00%"
"05/08/2025","97.900","97.910","97.910","97.895","7.00K","-0.01%"
"05/07/2025","97.910","97.910","97.915","97.905","6.86K","-0.01%"
"05/06/2025","97.915","97.910","97.920","97.905","8.61K","0.01%"
"05/05/2025","97.905","97.915","97.920","97.905","3.95K","-0.01%"
"05/02/2025","97.915","97.915","97.920","97.910","6.52K","-0.01%"
"04/30/2025","97.920","97.915","97.925","97.915","9.16K","0.00%"
"04/29/2025","97.920","97.915","97.920","97.910","14.23K","0.00%"
"04/28/2025","97.920","97.925","97.930","97.915","7.81K","-0.01%"
"04/25/2025","97.925","97.925","97.935","97.920","12.55K","-0.01%"
"04/24/2025","97.930","97.905","97.935","97.905","9.82K","0.03%"
"04/23/2025","97.905","97.905","97.910","97.895","9.91K","-0.01%"
"04/22/2025","97.910","97.915","97.925","97.895","9.55K","0.00%"
"04/17/2025","97.910","97.850","97.910","97.850","25.64K","0.05%"
"04/16/2025","97.860","97.855","97.860","97.850","19.49K","0.01%"
"04/15/2025","97.850","97.850","97.855","97.840","11.58K","0.10%"
"04/14/2025","97.748","97.740","97.745","97.735","3.53K","0.00%"
"04/11/2025","97.745","97.725","97.745","97.720","21.93K","0.02%"
"04/10/2025","97.730","97.735","97.750","97.720","35.60K","-0.05%"
"04/09/2025","97.775","97.755","97.785","97.705","20.11K","0.04%"
"04/08/2025","97.740","97.730","97.760","97.720","20.94K","0.00%"
"04/07/2025","97.740","97.775","97.800","97.705","26.22K","0.00%"
"04/04/2025","97.740","97.715","97.760","97.710","25.00K","0.04%"
"04/03/2025","97.705","97.735","97.760","97.695","33.43K","-0.01%"
"04/02/2025","97.710","97.715","97.720","97.705","33.92K","0.00%"
"04/01/2025","97.710","97.705","97.725","97.705","33.71K","0.02%"
"03/31/2025","97.695","97.745","97.765","97.680","36.92K","-0.04%"
"03/28/2025","97.735","97.725","97.745","97.725","21.64K","0.02%"
"03/27/2025","97.720","97.725","97.735","97.715","50.86K","0.02%"
"03/26/2025","97.705","97.695","97.720","97.695","35.91K","0.01%"
"03/25/2025","97.695","97.695","97.700","97.690","14.25K","0.01%"
"03/24/2025","97.690","97.670","97.700","97.665","28.42K","0.02%"
"03/21/2025","97.675","97.675","97.680","97.670","19.41K","0.00%"
"03/20/2025","97.675","97.665","97.685","97.660","17.54K","0.02%"
"03/19/2025","97.655","97.660","97.665","97.650","20.01K","0.00%"
"03/18/2025","97.655","97.645","97.660","97.640","23.57K","0.11%"
"03/17/2025","97.544","97.550","97.550","97.540","22.85K","0.00%"
"03/14/2025","97.545","97.540","97.550","97.530","193.31K","0.01%"
"03/13/2025","97.535","97.520","97.540","97.515","150.62K","0.02%"
"03/12/2025","97.515","97.510","97.520","97.495","240.40K","0.01%"
"03/11/2025","97.510","97.535","97.540","97.505","229.23K","-0.02%"
"03/10/2025","97.530","97.540","97.545","97.525","200.42K","-0.01%"
"03/07/2025","97.540","97.545","97.550","97.535","174.85K","0.00%"
"03/06/2025","97.540","97.550","97.560","97.530","355.42K","-0.01%"
"03/05/2025","97.545","97.580","97.585","97.540","366.21K","-0.05%"
"03/04/2025","97.590","97.595","97.600","97.575","308.99K","0.01%"
"03/03/2025","97.580","97.600","97.605","97.575","267.90K","-0.02%"
"02/28/2025","97.600","97.600","97.625","97.595","305.32K","0.01%"
"02/27/2025","97.595","97.590","97.605","97.585","168.47K","0.01%"
"02/26/2025","97.585","97.595","97.595","97.580","168.38K","-0.01%"
"02/25/2025","97.590","97.585","97.600","97.585","143.57K","-0.01%"
"02/24/2025","97.595","97.600","97.600","97.580","120.08K","0.01%"
"02/21/2025","97.590","97.575","97.615","97.575","200.25K","0.02%"
"02/20/2025","97.575","97.575","97.580","97.570","117.07K","0.01%"
"02/19/2025","97.570","97.580","97.590","97.560","198.89K","-0.02%"
"02/18/2025","97.585","97.585","97.590","97.580","86.46K","0.10%"
"02/17/2025","97.490","97.480","97.490","97.480","4.32K","0.01%"
"02/14/2025","97.485","97.475","97.490","97.460","30.56K","0.01%"
"02/13/2025","97.475","97.460","97.480","97.455","17.48K","0.01%"
"02/12/2025","97.465","97.485","97.490","97.455","20.32K","-0.02%"
"02/11/2025","97.485","97.500","97.500","97.480","8.15K","-0.02%"
"02/10/2025","97.500","97.495","97.505","97.490","8.98K","0.00%"
"02/07/2025","97.500","97.490","97.500","97.490","8.53K","0.01%"
"02/06/2025","97.495","97.490","97.500","97.490","10.32K","0.01%"
"02/05/2025","97.490","97.495","97.505","97.485","9.68K","-0.01%"
"02/04/2025","97.495","97.490","97.505","97.485","10.71K","-0.01%"
"02/03/2025","97.500","97.490","97.520","97.490","19.16K","0.02%"
"01/31/2025","97.480","97.455","97.490","97.450","17.62K","0.02%"
"01/30/2025","97.465","97.435","97.465","97.435","19.17K","0.03%"
"01/29/2025","97.435","97.440","97.445","97.435","12.37K","0.00%"
"01/28/2025","97.435","97.430","97.440","97.425","15.65K","0.01%"
"01/27/2025","97.430","97.430","97.445","97.425","10.72K","0.01%"
"01/24/2025","97.425","97.450","97.450","97.425","15.97K","-0.02%"
"01/23/2025","97.445","97.460","97.460","97.440","14.65K","-0.01%"
"01/22/2025","97.455","97.460","97.460","97.455","3.95K","0.00%"
"01/21/2025","97.455","97.465","97.465","97.455","9.38K","0.00%"
"01/20/2025","97.455","97.455","97.465","97.450","7.12K","0.00%"
"01/17/2025","97.455","97.455","97.465","97.455","15.70K","-0.01%"
"01/16/2025","97.460","97.455","97.460","97.440","12.37K","0.01%"
"01/15/2025","97.450","97.425","97.455","97.425","13.44K","0.02%"
"01/14/2025","97.430","97.435","97.450","97.425","20.47K","0.22%"
"01/13/2025","97.215","97.235","97.240","97.230","3.35K","-0.03%"
"01/10/2025","97.240","97.250","97.250","97.235","25.67K","-0.01%"
"01/09/2025","97.250","97.265","97.270","97.250","18.58K","-0.02%"
"01/08/2025","97.265","97.270","97.270","97.255","17.54K","0.00%"
"01/07/2025","97.265","97.275","97.285","97.260","16.64K","-0.02%"
"01/06/2025","97.280","97.310","97.310","97.275","23.21K","-0.03%"
"01/03/2025","97.310","97.335","97.335","97.310","17.19K","-0.02%"
"01/02/2025","97.330","97.345","97.350","97.320","32.27K","-0.02%"
"12/31/2024","97.345","97.360","97.360","97.345","13.26K","-0.02%"
"12/30/2024","97.360","97.370","97.375","97.355","28.37K","-0.01%"
"12/27/2024","97.370","97.370","97.380","97.365","38.36K","0.01%"
"12/24/2024","97.365","97.340","97.365","97.340","12.77K","0.04%"
"12/23/2024","97.330","97.315","97.340","97.310","24.24K","0.01%"
"12/20/2024","97.320","97.300","97.325","97.300","18.74K","0.02%"
"12/19/2024","97.300","97.295","97.305","97.290","6.81K","0.00%"
"12/18/2024","97.300","97.295","97.305","97.290","15.25K","0.01%"
"12/17/2024","97.295","97.300","97.300","97.290","8.05K","0.16%"
"12/16/2024","97.137","97.145","97.150","97.140","33.76K","-0.01%"
"12/13/2024","97.145","97.130","97.150","97.125","236.93K","0.01%"
"12/12/2024","97.140","97.160","97.170","97.125","345.67K","-0.02%"
"12/11/2024","97.160","97.165","97.170","97.155","163.97K","-0.01%"
"12/10/2024","97.170","97.175","97.180","97.165","155.55K","-0.01%"
"12/09/2024","97.175","97.180","97.185","97.170","114.24K","0.01%"
"12/06/2024","97.170","97.175","97.185","97.165","129.85K","0.00%"
"12/05/2024","97.170","97.175","97.180","97.165","169.92K","0.00%"
"12/04/2024","97.170","97.185","97.190","97.170","265.93K","-0.02%"
"12/03/2024","97.190","97.185","97.195","97.175","254.51K","0.01%"
"12/02/2024","97.185","97.200","97.210","97.180","324.24K","-0.01%"
"11/29/2024","97.195","97.185","97.210","97.165","359.98K","0.02%"
"11/28/2024","97.180","97.180","97.195","97.165","252.14K","0.01%"
"11/27/2024","97.175","97.225","97.225","97.175","349.50K","-0.04%"
"11/26/2024","97.210","97.225","97.240","97.205","234.49K","-0.02%"
"11/25/2024","97.230","97.255","97.260","97.210","292.48K","-0.03%"
"11/22/2024","97.260","97.175","97.305","97.165","599.70K","0.09%"
"11/21/2024","97.175","97.170","97.190","97.165","217.83K","0.01%"
"11/20/2024","97.170","97.165","97.180","97.155","229.28K","0.00%"
"11/19/2024","97.170","97.180","97.190","97.160","215.01K","0.18%"
"11/18/2024","96.996","97.000","97.000","96.995","2.82K","-0.01%"
"11/15/2024","97.005","97.020","97.020","97.000","12.27K","-0.01%"
"11/14/2024","97.015","97.005","97.020","96.995","9.13K","0.01%"
"11/13/2024","97.005","97.005","97.015","97.000","6.85K","-0.01%"
"11/12/2024","97.015","97.005","97.025","97.005","7.54K","0.01%"
"11/11/2024","97.010","97.000","97.010","96.995","6.33K","0.01%"
"11/08/2024","97.000","96.990","97.010","96.985","7.03K","0.00%"
"11/07/2024","97.000","97.000","97.005","96.985","12.86K","0.00%"
"11/06/2024","97.000","96.990","97.015","96.990","8.29K","0.02%"
"11/05/2024","96.980","96.985","96.990","96.975","7.09K","-0.01%"
"11/04/2024","96.985","96.985","96.990","96.980","3.35K","-0.01%"
"11/01/2024","96.995","97.005","97.010","96.990","5.19K","-0.01%"
"10/31/2024","97.000","97.010","97.010","96.990","3.13K","-0.01%"
"10/30/2024","97.010","97.045","97.050","97.000","8.63K","-0.04%"
"10/29/2024","97.045","97.045","97.050","97.030","17.03K","0.01%"
"10/28/2024","97.040","97.035","97.055","97.030","4.28K","0.00%"
"10/25/2024","97.040","97.035","97.045","97.020","5.09K","-0.01%"
"10/24/2024","97.045","97.020","97.055","97.020","7.48K","0.02%"
"10/23/2024","97.025","97.030","97.040","97.015","13.84K","0.03%"
"10/22/2024","97.000","96.980","97.035","96.975","26.53K","0.02%"
"10/21/2024","96.980","96.990","97.000","96.980","9.70K","-0.01%"
"10/18/2024","96.990","96.980","96.995","96.970","34.72K","0.02%"
"10/17/2024","96.975","96.940","96.985","96.930","50.58K","0.03%"
