"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","82.50","84.02","84.02","82.03","0.55K","-2.40%"
"06/09/2025","84.53","85.90","86.00","84.40","0.32K","-2.46%"
"06/06/2025","86.67","87.17","88.13","85.86","0.83K","-0.51%"
"06/05/2025","87.11","86.09","87.62","86.09","0.52K","2.42%"
"06/04/2025","85.05","85.75","86.90","85.10","0.16K","-0.26%"
"06/03/2025","85.28","84.06","85.69","83.99","0.32K","2.23%"
"06/02/2025","83.42","82.14","84.59","81.88","0.25K","2.30%"
"05/30/2025","81.55","84.50","84.50","80.37","0.87K","-3.84%"
"05/29/2025","84.80","87.67","87.67","84.55","0.40K","-3.83%"
"05/28/2025","88.18","87.78","89.08","87.61","0.37K","-0.67%"
"05/27/2025","88.78","88.90","90.52","87.22","1.14K","1.48%"
"05/23/2025","87.49","86.50","88.27","84.88","0.47K","0.56%"
"05/22/2025","87.00","88.50","88.92","86.60","0.38K","-1.05%"
"05/21/2025","87.92","89.26","90.80","87.51","0.52K","-0.98%"
"05/20/2025","88.79","85.44","89.04","85.44","0.62K","5.23%"
"05/19/2025","84.38","84.02","84.80","83.40","0.25K","0.27%"
"05/16/2025","84.14","84.22","85.90","83.50","0.79K","-0.67%"
"05/15/2025","84.71","84.61","85.32","82.65","0.65K","0.68%"
"05/14/2025","84.14","84.85","85.30","82.74","0.95K","-1.49%"
"05/13/2025","85.41","84.47","86.15","84.46","1.23K","0.37%"
"05/12/2025","85.10","86.08","87.20","84.17","2.27K","1.72%"
"05/09/2025","83.66","87.00","87.00","83.15","0.82K","-2.41%"
"05/08/2025","85.73","85.05","86.45","83.88","0.46K","2.03%"
"05/07/2025","84.03","84.84","85.97","83.20","0.81K","-0.51%"
"05/06/2025","84.46","82.35","85.34","82.16","0.87K","4.65%"
"05/02/2025","80.71","79.25","81.93","79.25","0.87K","3.53%"
"05/01/2025","77.96","78.40","78.45","76.73","0.62K","-0.89%"
"04/30/2025","78.66","76.60","79.35","76.60","0.73K","1.30%"
"04/29/2025","77.65","77.57","78.42","76.23","2.26K","-1.92%"
"04/28/2025","79.17","80.00","80.00","77.75","0.86K","-0.43%"
"04/25/2025","79.51","82.86","82.86","78.32","1.08K","-3.32%"
"04/24/2025","82.24","84.00","84.00","81.37","1.57K","-2.44%"
"04/23/2025","84.30","85.67","86.40","83.50","0.41K","-0.71%"
"04/22/2025","84.90","88.25","88.75","84.23","0.35K","-3.96%"
"04/17/2025","88.40","88.40","88.95","87.72","1.04K","0.76%"
"04/16/2025","87.74","85.25","88.30","85.25","1.75K","2.59%"
"04/15/2025","85.52","86.48","88.40","84.90","1.13K","-1.07%"
"04/14/2025","86.44","86.50","87.05","85.00","0.54K","2.26%"
"04/11/2025","84.53","84.90","85.90","83.25","1.46K","1.18%"
"04/10/2025","83.55","88.69","88.69","83.15","1.43K","-1.35%"
"04/09/2025","84.69","88.00","88.01","84.11","1.01K","-6.35%"
"04/08/2025","90.44","92.61","92.61","89.05","0.89K","-2.30%"
"04/07/2025","92.56","85.46","96.44","85.45","0.79K","2.51%"
"04/04/2025","90.30","96.75","96.75","87.40","1.97K","-6.72%"
"04/03/2025","96.80","99.50","99.50","95.00","1.27K","-4.18%"
"04/02/2025","101.03","103.00","103.54","100.36","0.60K","-2.54%"
"04/01/2025","103.66","100.09","104.50","99.06","0.40K","4.26%"
"03/31/2025","99.42","100.50","100.80","97.31","0.40K","0.61%"
"03/28/2025","98.82","98.50","98.84","98.50","0.04K","-0.45%"
"03/27/2025","99.26","98.27","99.99","98.27","0.25K","0.45%"
"03/26/2025","98.82","99.90","100.16","98.48","0.45K","-1.59%"
"03/25/2025","100.42","101.46","103.10","99.35","0.51K","-3.13%"
"03/24/2025","103.66","101.10","104.19","100.80","0.94K","0.19%"
"03/21/2025","103.46","108.98","109.00","102.16","0.22K","-0.30%"
"03/20/2025","103.77","106.39","106.39","103.35","0.42K","-1.57%"
"03/19/2025","105.43","102.77","106.73","101.99","0.17K","6.18%"
