trade_date,contract_code,contract_month,settle,volume
2025-01-03,SONIA,2025-01,95.35,13910
2025-01-06,SONIA,2025-01,95.35,12830
2025-01-07,SONIA,2025-01,95.36,18280
2025-01-08,SONIA,2025-01,95.36,42480
2025-01-09,SONIA,2025-01,95.36,20630
2025-01-10,SONIA,2025-01,95.36,12680
2025-01-13,SONIA,2025-01,95.36,27360
2025-01-14,SONIA,2025-01,95.35,33120
2025-01-15,SONIA,2025-01,95.38,50990
2025-01-16,SONIA,2025-01,95.38,21210
2025-01-17,SONIA,2025-01,95.38,9630
2025-01-20,SONIA,2025-01,95.38,11300
2025-01-21,SONIA,2025-01,95.38,9750
2025-01-22,SONIA,2025-01,95.38,3520
2025-01-23,SONIA,2025-01,95.38,2500
2025-01-24,SONIA,2025-01,95.38,10260
2025-01-27,SONIA,2025-01,95.38,19450
2025-01-28,SONIA,2025-01,95.39,840
2025-01-29,SONIA,2025-01,95.39,1070
2025-01-30,SONIA,2025-01,95.39,2490
2025-01-31,SONIA,2025-01,95.39,12840
2025-02-03,SONIA,2025-02,95.39,17090
2025-02-04,SONIA,2025-02,95.39,1320
2025-02-05,SONIA,2025-02,95.39,4059
2025-02-06,SONIA,2025-02,95.38,28040
2025-02-07,SONIA,2025-02,95.39,1730
2025-02-10,SONIA,2025-02,95.38,460
2025-02-11,SONIA,2025-02,95.38,950
2025-02-12,SONIA,2025-02,95.39,190
2025-02-13,SONIA,2025-02,95.39,1470
2025-02-14,SONIA,2025-02,95.39,790
2025-02-17,SONIA,2025-02,95.39,200
2025-02-18,SONIA,2025-02,95.38,2730
2025-02-19,SONIA,2025-02,95.39,1710
2025-02-20,SONIA,2025-02,95.39,740
2025-02-21,SONIA,2025-02,95.39,1780
2025-02-24,SONIA,2025-02,95.38,880
2025-02-25,SONIA,2025-02,95.39,290
2025-02-26,SONIA,2025-02,95.39,870
2025-02-27,SONIA,2025-02,95.39,150
2025-02-28,SONIA,2025-02,95.39,1610
2025-03-03,SONIA,2025-03,95.39,270
2025-03-04,SONIA,2025-03,95.39,1450
2025-03-05,SONIA,2025-03,95.39,370
2025-03-06,SONIA,2025-03,95.39,4040
2025-03-07,SONIA,2025-03,95.39,2220
2025-03-10,SONIA,2025-03,95.39,1830
2025-03-11,SONIA,2025-03,95.39,560
2025-03-12,SONIA,2025-03,95.38,680
2025-03-13,SONIA,2025-03,95.39,270
2025-03-14,SONIA,2025-03,95.39,140
2025-03-17,SONIA,2025-03,95.38,2830
2025-03-18,SONIA,2025-03,95.38,390
2025-03-19,SONIA,2025-03,95.61,23180
2025-03-20,SONIA,2025-03,95.6,67280
2025-03-21,SONIA,2025-03,95.59,32490
2025-03-24,SONIA,2025-03,95.59,20340
2025-03-25,SONIA,2025-03,95.59,40560
2025-03-26,SONIA,2025-03,95.61,42240
2025-03-27,SONIA,2025-03,95.61,22960
2025-03-28,SONIA,2025-03,95.61,12540
2025-03-31,SONIA,2025-03,95.61,19500
2025-04-01,SONIA,2025-04,95.61,21790
2025-04-02,SONIA,2025-04,95.61,6310
2025-04-03,SONIA,2025-04,95.63,19840
2025-04-04,SONIA,2025-04,95.64,95700
2025-04-07,SONIA,2025-04,95.64,59500
2025-04-08,SONIA,2025-04,95.65,39220
2025-04-09,SONIA,2025-04,95.65,44210
2025-04-10,SONIA,2025-04,95.64,28490
2025-04-11,SONIA,2025-04,95.64,27980
2025-04-14,SONIA,2025-04,95.63,19300
2025-04-15,SONIA,2025-04,95.63,21020
2025-04-16,SONIA,2025-04,95.64,56630
2025-04-17,SONIA,2025-04,95.64,17920
2025-04-22,SONIA,2025-04,95.64,13810
2025-04-23,SONIA,2025-04,95.64,27590
2025-04-24,SONIA,2025-04,95.64,16530
2025-04-25,SONIA,2025-04,95.64,21540
2025-04-28,SONIA,2025-04,95.64,1250
2025-04-29,SONIA,2025-04,95.64,9490
2025-04-30,SONIA,2025-04,95.64,11870
2025-05-01,SONIA,2025-05,95.64,17980
2025-05-02,SONIA,2025-05,95.64,25140
2025-05-06,SONIA,2025-05,95.64,13520
2025-05-07,SONIA,2025-05,95.64,24940
2025-05-08,SONIA,2025-05,95.63,21420
2025-05-09,SONIA,2025-05,95.63,5120
2025-05-12,SONIA,2025-05,95.63,17960
2025-05-13,SONIA,2025-05,95.63,5630
2025-05-14,SONIA,2025-05,95.63,29120
2025-05-15,SONIA,2025-05,95.63,19580
2025-05-16,SONIA,2025-05,95.63,1450
2025-05-19,SONIA,2025-05,95.63,490
2025-05-20,SONIA,2025-05,95.63,940
2025-05-21,SONIA,2025-05,95.63,510
2025-05-22,SONIA,2025-05,95.63,1640
2025-05-23,SONIA,2025-05,95.63,1360
2025-05-27,SONIA,2025-05,95.63,910
2025-05-28,SONIA,2025-05,95.63,540
2025-05-29,SONIA,2025-05,95.63,66120
2025-05-30,SONIA,2025-05,95.63,460
2025-06-02,SONIA,2025-06,95.63,1640
2025-06-03,SONIA,2025-06,95.63,2540
2025-06-04,SONIA,2025-06,95.63,3410
2025-06-05,SONIA,2025-06,95.63,1260
2025-06-06,SONIA,2025-06,95.63,1550
2025-06-09,SONIA,2025-06,95.63,720
2025-06-10,SONIA,2025-06,95.63,780
2025-06-11,SONIA,2025-06,95.63,320
2025-06-12,SONIA,2025-06,95.63,160
2025-06-13,SONIA,2025-06,95.63,1090
2025-06-16,SONIA,2025-06,95.63,540
2025-06-17,SONIA,2025-06,95.63,1590
2025-06-18,SONIA,2025-06,95.86,47320
2025-06-19,SONIA,2025-06,95.85,69220
2025-06-20,SONIA,2025-06,95.86,13310
2025-06-23,SONIA,2025-06,95.85,12560
2025-06-24,SONIA,2025-06,95.86,22950
2025-06-25,SONIA,2025-06,95.86,7100
2025-06-26,SONIA,2025-06,95.86,16840
2025-06-27,SONIA,2025-06,95.86,3130
2025-06-30,SONIA,2025-06,95.86,3670
2025-07-01,SONIA,2025-07,95.86,39160
2025-07-02,SONIA,2025-07,95.86,32140
2025-07-03,SONIA,2025-07,95.86,11770
2025-07-04,SONIA,2025-07,95.86,8830
2025-07-07,SONIA,2025-07,95.86,24360
2025-07-08,SONIA,2025-07,95.86,30250
2025-07-09,SONIA,2025-07,95.86,13540
2025-07-10,SONIA,2025-07,95.86,8420
2025-07-11,SONIA,2025-07,95.86,11360
2025-07-14,SONIA,2025-07,95.87,13530
2025-07-15,SONIA,2025-07,95.86,41770
2025-07-16,SONIA,2025-07,95.86,44020
2025-07-17,SONIA,2025-07,95.86,16840
2025-07-18,SONIA,2025-07,95.86,10170
2025-07-21,SONIA,2025-07,95.86,21250
2025-07-22,SONIA,2025-07,95.87,14780
2025-07-23,SONIA,2025-07,95.87,11560
2025-07-24,SONIA,2025-07,95.86,12430
2025-07-25,SONIA,2025-07,95.87,4820
2025-07-28,SONIA,2025-07,95.86,2610
2025-07-29,SONIA,2025-07,95.87,3720
2025-07-30,SONIA,2025-07,95.87,880
2025-07-31,SONIA,2025-07,95.86,5880
2025-08-01,SONIA,2025-08,95.87,34840
2025-08-04,SONIA,2025-08,95.87,6040
2025-08-05,SONIA,2025-08,95.87,7160
2025-08-06,SONIA,2025-08,95.87,26580
2025-08-07,SONIA,2025-08,95.87,27620
2025-08-08,SONIA,2025-08,95.87,3850
2025-08-11,SONIA,2025-08,95.87,2470
2025-08-12,SONIA,2025-08,95.87,1450
2025-08-13,SONIA,2025-08,95.88,1270
2025-08-14,SONIA,2025-08,95.87,3980
2025-08-15,SONIA,2025-08,95.88,8760
2025-08-18,SONIA,2025-08,95.88,2060
2025-08-19,SONIA,2025-08,95.88,2300
2025-08-20,SONIA,2025-08,95.87,2140
2025-08-21,SONIA,2025-08,95.87,18560
2025-08-22,SONIA,2025-08,95.88,4290
2025-08-26,SONIA,2025-08,95.88,3710
2025-08-27,SONIA,2025-08,95.88,1930
2025-08-28,SONIA,2025-08,95.87,200
2025-08-29,SONIA,2025-08,95.87,730
2025-09-01,SONIA,2025-09,95.88,600
2025-09-02,SONIA,2025-09,95.88,670
2025-09-03,SONIA,2025-09,95.88,1210
2025-09-04,SONIA,2025-09,95.88,460
2025-09-05,SONIA,2025-09,95.88,1070
2025-09-08,SONIA,2025-09,95.87,310
2025-09-09,SONIA,2025-09,95.88,450
2025-09-10,SONIA,2025-09,96.04,62150
2025-09-11,SONIA,2025-09,96.04,60780
2025-09-12,SONIA,2025-09,96.03,66470
2025-09-15,SONIA,2025-09,96.04,49950
2025-09-16,SONIA,2025-09,96.04,30480
2025-09-17,SONIA,2025-09,96.03,46890
2025-09-18,SONIA,2025-09,96.14,149320
2025-09-19,SONIA,2025-09,96.13,92900
2025-09-22,SONIA,2025-09,96.14,60180
2025-09-23,SONIA,2025-09,96.14,100530
2025-09-24,SONIA,2025-09,96.14,54660
