date,horizon_days,pnl_realized,VaR_energy,IM_energy,VaR_financials,IM_financials,AddOn_liquidity,IM_total,breach_var,breach_im
2025-05-19,2,20392.39558802061,0.0,0.0,88626.58100515346,93057.91005541114,264614.6396468922,357672.54970230337,False,False
2025-05-20,2,22215.266027574016,0.0,0.0,88498.1946022071,92923.10433231747,271088.1778592017,364011.28219151916,False,False
2025-05-21,2,16755.19996314938,0.0,0.0,88331.54734617492,92748.12471348367,278564.6919195741,371312.8166330578,False,False
2025-05-22,2,-16186.247187640052,0.0,0.0,88164.91241062936,92573.15803116083,284570.93542397325,377144.0934551341,False,False
2025-05-23,2,-8743.800553720019,0.0,0.0,88011.81888586302,92412.40983015618,266272.91353433195,358685.32336448814,False,False
2025-05-26,2,13430.570126209062,0.0,0.0,,0.0,113383.56029239512,113383.56029239512,False,False
2025-05-27,2,15396.942088594553,0.0,0.0,87833.82576343174,92225.51705160334,265748.3983409709,357973.9153925743,False,False
2025-05-28,2,30431.19979938365,0.0,0.0,87738.89551005248,92125.84028555511,257326.05609331725,349451.89637887233,False,False
2025-05-29,2,-13481.539241874398,0.0,0.0,87653.60346654117,92036.28363986824,242526.81913330994,334563.1027731782,False,False
2025-05-30,2,-36336.957611594014,105589.11246369622,110868.56808688103,87522.86676468051,91899.01010291454,246588.69244383505,449356.27063363063,False,False
2025-06-02,2,538.0503259691723,105229.86666893863,110491.36000238557,87392.20405470782,91761.81425744321,246070.94601413867,448324.12027396745,False,False
2025-06-03,2,-5139.003893818498,108100.36847016057,113505.3868936686,87275.31908782323,91639.0850422144,242199.92474352213,447344.3966794051,False,False
2025-06-04,2,-38984.94188629367,106698.93452017443,112033.88124618315,87149.43481381788,91506.90655450878,244580.72490583622,448121.5127065282,False,False
2025-06-05,2,-19372.618852286123,107269.55626289362,112633.0340760383,86981.6985379629,91330.78346486106,243341.4650004655,447305.2825413649,False,False
2025-06-06,2,14484.931989878916,107565.65394341122,112943.93664058179,86833.65719317087,91175.34005282943,244257.7656171497,448377.04231056094,False,False
2025-06-09,2,-30098.623916058878,107910.84304641282,113306.38519873346,86690.2709811083,91024.78453016373,244440.34186626776,448771.51159516495,False,False
2025-06-10,2,-48600.517223046685,105185.63768966142,110444.9195741445,86546.89607120136,90874.24087476144,247060.48174926656,448379.6421981725,False,False
2025-06-11,2,-98606.50563639155,112652.98927734065,118285.63874120769,86455.6649771371,90778.44822599395,250591.61642107996,459655.70338828163,False,False
2025-06-12,2,-60957.398918597835,110755.08536759777,116292.83963597767,86345.9491558366,90663.24661362843,249453.31162762106,456409.39787722717,False,False
2025-06-13,2,-19182.3158626754,127836.47432220803,134228.29803831843,86221.45937418412,90532.53234289333,251516.55238684744,476277.3827680592,False,False
2025-06-16,2,-153276.24182524523,126471.93354239191,132795.5302195115,86134.06003986097,90440.76304185402,277682.26229526085,500918.5555566264,False,False
2025-06-17,2,-151146.14577966477,134706.6199709078,141441.9509694532,86020.46246729797,90321.48559066287,298285.14010826504,530048.5766683811,False,False
2025-06-18,2,-27467.760069689997,132384.04150742144,139003.24358279252,86225.80780797498,90537.09819837373,295619.98185695824,525160.3236381245,False,False
2025-06-19,2,114752.61137601256,138961.38162868406,145909.45071011828,86442.50700968127,90764.63236016534,287992.79223803256,524666.8753083162,False,False
2025-06-20,2,202829.45258697474,135934.01998686703,142730.7209862104,86671.57471337706,91005.15344904592,293108.5513525677,526844.425787824,False,False
2025-06-23,2,111801.45105096724,137300.39152957898,144165.41110605793,86913.60438777944,91259.28460716842,299027.06178966863,534451.757502895,False,False
2025-06-24,2,15234.173002806336,138388.7458598538,145308.1831528465,87149.38223838584,91506.85135030514,294988.7775168624,531803.812020014,False,False
2025-06-25,2,22766.669354660928,142338.04433438805,149454.94655110745,87400.6578388561,91770.69073079892,299915.6671603744,541141.3044422808,False,False
2025-06-26,2,69444.28673164848,135493.28293827182,142267.9470851854,87676.10369334559,92059.90887801288,315569.0627341559,549896.9186973542,False,False
2025-06-27,2,60613.826116414755,132440.1149042221,139062.12064943323,87909.5953657158,92305.07513400158,321882.7659979962,553249.961781431,False,False
2025-06-30,2,-19084.901613346396,127973.57385731993,134372.25255018595,88157.49562641306,92565.37040773372,327935.4295085971,554873.0524665168,False,False
